title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,year
Pathaan,,2023-01-25T00:00:00Z,"action film, adventure film, spy film, thriller film",Siddharth Anand,146,tt12844910,,25,2023
Monster,,2023-11-12T00:00:00Z,"LGBT-related film, drama film, coming-of-age film, thriller film",Hirokazu Koreeda,127,tt23736044,,25,2023
Tetris,,2023-03-15T00:00:00Z,"biographical film, thriller film",Jon S. Baird,118,tt12758060,,24,2023
The Taste of Things,,2023-05-24T00:00:00Z,"drama film, romance film, historical film",Trần Anh Hùng,134,tt19760052,,24,2023
The Color Purple,,2023-12-25T00:00:00Z,"drama film, musical film, historical film, coming-of-age film",Blitz the Ambassador,,tt1200263,,24,2023
Nyad,,2023-01-01T00:00:00Z,biographical sports film,"Elizabeth Chai Vasarhelyi, Jimmy Chin",121,tt5302918,,24,2023
Thanksgiving,,2023-11-17T00:00:00Z,"horror film, slasher film",Eli Roth,106,tt1448754,,24,2023
Mavka: The Forest Song,,2023-03-02T00:00:00Z,"fantasy film, comedy film, adventure film, musical film, family film, speculative fiction film","Oleh Malamuzh, Oleksandra Ruban",99,tt6685538,,24,2023
Missing,,2023-01-19T00:00:00Z,"drama film, mystery film, thriller film, screenlife","Will Merrick, Nicholas D. Johnson",111,tt10855768,,23,2023
The Three Musketeers: D'Artagnan,,2023-04-05T00:00:00Z,"swashbuckler film, adventure film, historical film, film based on a novel",Martin Bourboulon,121,tt12672536,,23,2023
Infinity Pool,,2023-01-21T00:00:00Z,"horror film, science fiction film, mystery film",Brandon Cronenberg,117,tt10365998,,23,2023
Women Talking,,2023-01-06T00:00:00Z,"drama film, film based on book",Sarah Polley,104,tt13669038,,23,2023
Haunted Mansion,,2023-07-27T00:00:00Z,"comedy horror, speculative fiction film",Justin Simien,122,tt1695843,,23,2023
EO,,2023-02-21T00:00:00Z,"drama film, road movie",Jerzy Skolimowski,86,tt19652910,,23,2023
Ghosted,,2023-04-21T00:00:00Z,"action film, romantic comedy, romance film, action-adventure film",Dexter Fletcher,116,tt15326988,,23,2023
Pearl,,2023-04-09T00:00:00Z,"psychological horror, slasher film",Ti West,102,tt18925334,,23,2023
Strays,,2023-08-17T00:00:00Z,"comedy film, adventure film",Josh Greenbaum,93,tt15153532,,23,2023
La chimera,,2023-05-26T00:00:00Z,"fantasy film, adventure film, comedy drama",Alice Rohrwacher,130,tt14561712,,23,2023
All of Us Strangers,,2023-08-31T00:00:00Z,"fantasy film, romance film",Andrew Haigh,105,tt21192142,,23,2023
Dumb Money,,2023-01-01T00:00:00Z,"drama film, comedy film, biographical film, comedy drama, film based on book",Craig Gillespie,105,tt13957560,,23,2023
Hit Man,,2023-09-05T00:00:00Z,"black comedy, thriller film, action comedy film, black comedy film",Richard Linklater,115,tt20215968,,23,2023
The Iron Claw,,2023-11-08T00:00:00Z,"drama film, biographical film, sport film",Sean Durkin,132,tt21064584,,23,2023
Once Upon a Studio,,2023-06-11T00:00:00Z,"crossover fiction, live-action/animated film, fantasy comedy film","Dan Abraham, Trent Correy",9,tt28035641,,23,2023
Io capitano,,2023-09-06T00:00:00Z,"drama film, adventure film, docudrama",Matteo Garrone,121,tt14225838,,23,2023
Ladybug & Cat Noir: The Movie,,2023-07-05T00:00:00Z,"drama film, fantasy film, comedy film, action film, adventure film, musical film, family film, superhero film",Jeremy Zag,105,tt10364034,,23,2023
Chicken Run: Dawn of the Nugget,,2023-12-08T00:00:00Z,"comedy film, adventure film, family film",Sam Fell,97,tt8337264,,23,2023
One Piece Film: Red,,2023-01-26T00:00:00Z,"fantasy film, comedy film, action film, adventure film",Gorō Taniguchi,115,tt16183464,,22,2023
Decision to Leave,,2023-02-02T00:00:00Z,"drama film, romance film, mystery film, police film",Park Chan-wook,138,tt12477480,,22,2023
Terrifier 2,,2023-02-21T00:00:00Z,"horror film, slasher film",Pepe,138,tt10403420,,22,2023
Golda,,2023-02-20T00:00:00Z,"drama film, biographical film",Guy Nattiv,100,tt14454876,,22,2023
The Mother,,2023-01-01T00:00:00Z,"drama film, action film, thriller film",Niki Caro,115,tt6968614,,22,2023
Crimes of the Future,,2023-01-05T00:00:00Z,"drama film, horror film, science fiction film, thriller film, arthouse science fiction film",David Cronenberg,107,tt14549466,,22,2023
The Boogeyman,,2023-05-31T00:00:00Z,"horror film, film based on literature",Rob Savage,98,tt3427252,,22,2023
Jeanne du Barry,,2023-05-16T00:00:00Z,"drama film, biographical film, historical film",Maïwenn,113,tt17277414,,22,2023
The Promised Land,,2023-08-31T00:00:00Z,historical film,Nikolaj Arcel,122,tt20561198,,22,2023
The Three Musketeers: Milady,,2023-12-13T00:00:00Z,"swashbuckler film, adventure film, historical film, film based on a novel",Martin Bourboulon,115,tt12672620,,21,2023
The Son,,2023-03-01T00:00:00Z,drama film,Florian Zeller,123,tt14458442,,21,2023
The Beasts,,2023-03-30T00:00:00Z,"drama film, thriller film",Rodrigo Sorogoyen,137,tt15006566,,21,2023
The Last Voyage of the Demeter,,2023-08-09T00:00:00Z,"vampire film, supernatural horror film, film based on a novel",André Øvredal,118,tt1001520,,21,2023
All the Beauty and the Bloodshed,,2023-03-15T00:00:00Z,"documentary film, biographical film",Laura Poitras,122,tt21374850,,21,2023
PAW Patrol: The Mighty Movie,,2023-09-28T00:00:00Z,"animated film, adventure film, family film",Cal Brunker,88,tt15837338,,21,2023
Kandahar,,2023-05-26T00:00:00Z,"action film, action thriller",Ric Roman Waugh,92,tt5761544,,21,2023
Jawan,,2023-09-07T00:00:00Z,action film,Atlee,167,tt15354916,,21,2023
Dream Scenario,,2023-09-09T00:00:00Z,"fantasy film, comedy film, horror film, comedy horror, surrealist cinema",Kristoffer Borgli,100,tt21942866,,21,2023
The Bikeriders,,2023-08-31T00:00:00Z,"drama film, crime film, outlaw biker film, film based on book",Jeff Nichols,116,tt21454134,,21,2023
Four Daughters,,2023-05-19T00:00:00Z,documentary film,Kaouther Ben Hania,110,tt27502426,,21,2023
Sing Sing,,2023-09-10T00:00:00Z,drama film,Greg Kwedar,105,tt28479262,,21,2023
Robot Dreams,,2023-05-20T00:00:00Z,"drama film, comedy film, animated film, musical film",Q3325924,102,tt13429870,,21,2023
ABBA: The Movie,,2023-09-17T00:00:00Z,"documentary film, comedy film, concert film",Lasse Hallström,96,tt0075617,,20,2023
They Cloned Tyrone,,2023-06-14T00:00:00Z,"comedy film, science fiction film, science fiction comedy",Juel Taylor,,tt9873892,,20,2023
The Teacher's Lounge,,2023-05-04T00:00:00Z,drama film,İlker Çatak,99,tt26612950,,20,2023
Green Border,,2023-09-05T00:00:00Z,drama film,Agnieszka Holland,147,tt27722543,,20,2023
A contre sens,,2023-06-08T00:00:00Z,"teen film, romantic drama, film based on a novel, coming-of-age film",Domingo González,118,tt21909764,,20,2023
Evil Does Not Exist,,2023-09-04T00:00:00Z,drama film,Ryusuke Hamaguchi,106,tt28490044,,20,2023
Taylor Swift: The Eras Tour,,2023-10-13T00:00:00Z,"documentary film, concert film",Sam Wrench,165,tt28814949,,20,2023
Broker,,2023-03-16T00:00:00Z,drama film,Hirokazu Koreeda,129,tt13056052,,19,2023
Next Goal Wins,,2023-09-10T00:00:00Z,"drama film, comedy film, biographical film, comedy drama, association football film",Taika Waititi,104,tt10767052,,19,2023
Memoria,,2023-06-22T00:00:00Z,drama film,Apichatpong Weerasethakul,136,tt8399288,,19,2023
Shotgun Wedding,,2023-01-06T00:00:00Z,"action film, romantic comedy, romance film, action comedy film",Jason Moore,100,tt9686790,,19,2023
Love at First Sight,,2023-09-15T00:00:00Z,"romantic comedy, film based on a novel",Vanessa Caswill,91,tt13444014,,19,2023
Armageddon Time,,2023-03-02T00:00:00Z,drama film,James Gray,115,tt10343028,,19,2023
Luther: The Fallen Sun,,2023-02-24T00:00:00Z,"drama film, police film, thriller film",Jamie Payne,129,tt3155298,,19,2023
Rustin,,2023-08-31T00:00:00Z,"drama film, biographical film, LGBT-related film",George C. Wolfe,99,tt14160834,,19,2023
The Quiet Girl,,2023-03-03T00:00:00Z,"drama film, film based on literature",Colm Bairéad,95,tt15109082,,19,2023
Empire of Light,,2023-03-01T00:00:00Z,"drama film, romance film",Sam Mendes,119,tt14402146,,19,2023
Magic Mike's Last Dance,,2023-02-09T00:00:00Z,comedy drama,Steven Soderbergh,112,tt16280138,,19,2023
Late Night with the Devil,,2023-03-10T00:00:00Z,"horror film, found footage, Satanic film","Colin Cairnes, Cameron Cairnes",92,tt14966898,,19,2023
Leo,,2023-11-21T00:00:00Z,"comedy film, musical film","Robert Smigel, Robert Marianetti, David Wachtenheim",102,tt5755238,,19,2023
Your Place or Mine,,2023-02-10T00:00:00Z,romantic comedy,Aline Brosh McKenna,109,tt12823454,,18,2023
Knights of the Zodiac,,2023-01-01T00:00:00Z,"fantasy film, action film",Tomasz Bagiński,,tt6528290,,18,2023
Hypnotic,,2023-03-12T00:00:00Z,"drama film, action film, science fiction film, police film, thriller film",Robert Rodriguez,93,tt8080204,,18,2023
Reptile,,2023-09-07T00:00:00Z,"drama film, police film, thriller film",Grant Singer,134,tt13274016,,18,2023
You People,,2023-01-27T00:00:00Z,comedy film,Kenya Barris,117,tt14826022,,18,2023
About Dry Grasses,,2023-05-19T00:00:00Z,drama film,Nuri Bilge Ceylan,197,tt13231544,,18,2023
Freelance,,2023-10-05T00:00:00Z,action comedy film,Pierre Morel,108,tt15744298,,18,2023
Lee,,2023-09-09T00:00:00Z,"drama film, war film, biographical film, historical film",Ellen Kuras,117,tt5112584,,18,2023
The Out-Laws,,2023-07-07T00:00:00Z,"crime film, romance film, action comedy film",Tyler Spindel,95,tt11274492,,18,2023
The Boys in the Boat,,2023-12-25T00:00:00Z,"drama film, biographical film, sport film",George Clooney,124,tt1856080,,18,2023
Saint Omer,,2023-01-13T00:00:00Z,drama film,Alice Diop,122,tt15376894,,18,2023
Reality,,2023-02-18T00:00:00Z,"drama film, biographical film, crime film",Tina Satter,82,tt24068064,,18,2023
Fair Play,,2023-01-20T00:00:00Z,thriller film,Chloe Domont,113,tt16304446,,18,2023
The Old Oak,,2023-05-26T00:00:00Z,drama film,Ken Loach,113,tt19883634,,18,2023
How to Have Sex,,2023-05-19T00:00:00Z,drama film,Molly Manning Walker,91,tt22890246,,18,2023
Bird Box Barcelona,,2023-07-14T00:00:00Z,"horror film, science fiction film","David Pastor, Àlex Pastor",112,tt14400246,,18,2023
Digimon Adventure: Last Evolution Kizuna,,2023-04-01T00:00:00Z,"fantasy film, action film, anime film",Tomohisa Taguchi,94,tt9507234,,17,2023
Bitter Harvest,,2023-03-01T00:00:00Z,"drama film, romance film, historical film",George Mendeluk,103,tt3182620,,17,2023
The Amazing Maurice,,2023-02-01T00:00:00Z,"fantasy film, adventure film, family film, speculative fiction film","Toby Genkel, Florian Westermann",93,tt10473036,,17,2023
Love Again,,2023-05-12T00:00:00Z,"romantic comedy, film based on a novel",James C. Strouse,104,tt10276482,,17,2023
White Bird: A Wonder Story,,2023-07-30T00:00:00Z,"drama film, war film, film based on book, coming-of-age film",Marc Forster,120,tt11068094,,17,2023
Marlowe,,2023-02-15T00:00:00Z,"film noir, police film, thriller film, film based on a novel",Neil Jordan,109,tt6722802,,17,2023
The Palace,,2023-09-02T00:00:00Z,comedy drama,Roman Polanski,100,tt14549270,,17,2023
Firebrand,,2023-05-21T00:00:00Z,"drama film, historical film",Karim Aïnouz,120,tt15000156,,17,2023
DogMan,,2023-09-27T00:00:00Z,"drama film, action film, crime film, thriller film",Luc Besson,113,tt17009348,,17,2023
Book Club: The Next Chapter,,2023-05-11T00:00:00Z,romantic comedy,Bill Holderman,108,tt20768712,,17,2023
Totally Killer,,2023-01-01T00:00:00Z,"comedy horror, time-travel film",Nahnatchka Khan,106,tt11426232,,17,2023
After Everything,,2023-09-13T00:00:00Z,"drama film, film based on a novel",Castille Landon,,tt15334488,,17,2023
Beautiful Disaster,,2023-01-01T00:00:00Z,"film based on a novel, romantic drama film",Roger Kumble,95,tt2316548,,17,2023
Woman of the Hour,,2023-09-08T00:00:00Z,"drama film, crime film, thriller film",Anna Kendrick,94,tt7737800,,17,2023
She Came to Me,,2023-01-01T00:00:00Z,romantic comedy,Rebecca Miller,,tt6689014,,17,2023
BlackBerry,,2023-01-01T00:00:00Z,"biographical film, comedy drama",Matt Johnson,122,tt21867434,,17,2023
The Bricklayer,,2023-12-14T00:00:00Z,"action film, thriller film",Renny Harlin,110,tt2016303,,17,2023
12th Fail,,2023-10-27T00:00:00Z,,Vidhu Vinod Chopra,146,tt23849204,,17,2023
Sharknado 2: The Second One,,2023-05-02T00:00:00Z,"horror film, science fiction film, disaster film, monster film",Anthony C. Ferrante,90,tt3062074,,17,2023
Hidden Strike,,2023-01-01T00:00:00Z,"comedy film, action film, thriller film",Scott Waugh,102,tt6879446,,16,2023
Tove,,2023-03-01T00:00:00Z,biographical film,Zaida Bergroth,103,tt11007444,,16,2023
"Are You There God? It's Me, Margaret",,2023-05-19T00:00:00Z,"teen film, coming-of-age film, comedy drama, drama film",Kelly Fremon Craig,105,tt9185206,,16,2023
Jeepers Creepers: Reborn,,2023-05-04T00:00:00Z,"horror film, mystery film, thriller film",Timo Vuorensola,88,tt14121726,,16,2023
When You Finish Saving the World,,2023-01-20T00:00:00Z,comedy drama,Q219512,88,tt12121582,,16,2023
Till,,2023-01-13T00:00:00Z,"drama film, biographical film",Chinonye Chukwu,130,tt4960748,,16,2023
Retribution,,2023-08-23T00:00:00Z,action thriller,Nimród Antal,90,tt6906292,,16,2023
Boy Kills World,,2023-09-09T00:00:00Z,"dystopia, action film, science fiction film",Moritz Mohr,,tt13923084,,16,2023
Murder Mystery 2,,2023-03-31T00:00:00Z,"comedy film, action film, crime film, mystery film",Jeremy Garelick,89,tt15255288,,16,2023
Teen Wolf: The Movie,,2023-01-26T00:00:00Z,"drama film, teen film, supernatural film",Russell Mulcahy,140,tt15486810,,16,2023
The Beast,,2023-09-03T00:00:00Z,"drama film, science fiction film, romance film, dystopian film",Bertrand Bonello,145,tt14407336,,16,2023
Silent Night,,2023-12-01T00:00:00Z,"action film, thriller film",John Woo,104,tt15799866,,16,2023
Coup de chance,,2023-09-04T00:00:00Z,"comedy drama, romance film, thriller film, comedy thriller",Woody Allen,96,tt15140278,,16,2023
Jailer,,2023-08-10T00:00:00Z,"comedy film, action film",Nelson Dilipkumar,164,tt11663228,,16,2023
The Kerala Story,,2023-05-05T00:00:00Z,,,,tt24268454,,16,2023
Wicked Little Letters,,2023-01-01T00:00:00Z,comedy film,Thea Sharrock,102,tt20234774,,16,2023
El Conde,,2023-01-01T00:00:00Z,"comedy film, vampire film",Pablo Larraín,110,tt21113540,,16,2023
Pain Hustlers,,2023-10-27T00:00:00Z,"drama film, crime film",David Yates,122,tt15257160,,16,2023
Spy Kids: Armageddon,,2023-09-22T00:00:00Z,"comedy film, action film, spy film",Robert Rodriguez,97,tt13978520,,16,2023
Mummies,,2023-01-05T00:00:00Z,"comedy film, animated film, adventure film, family film",Juan Jesús García Galocha,88,tt23177868,,16,2023
The Dead Don't Hurt,,2023-09-08T00:00:00Z,"Western film, romantic drama film",Q171363,129,tt22773644,,16,2023
Memory,,2023-01-01T00:00:00Z,drama film,Michel Franco,100,tt19864828,,16,2023
The First Slam Dunk,,2023-01-04T00:00:00Z,sport film,Takehiko Inoue,124,tt15242330,,16,2023
The Magician's Elephant,,2023-03-17T00:00:00Z,"fantasy film, adventure film",Wendy Rogers,103,tt2560092,,16,2023
Detective Conan: Black Iron Submarine,,2023-04-14T00:00:00Z,"action film, adventure film",Yuzuru Tachikawa,110,tt27521477,,15,2023
Lost Illusions,,2023-03-02T00:00:00Z,"drama film, historical film, film based on a novel",Xavier Giannoli,149,tt10505316,,15,2023
Cobweb,,2023-07-19T00:00:00Z,"horror film, thriller film",Samuel Bodin,88,tt9100018,,15,2023
The Wandering Earth 2,,2023-01-22T00:00:00Z,"science fiction film, action-adventure film",Frant Gwo,173,tt13539646,,15,2023
The Toxic Avenger,,2023-09-21T00:00:00Z,"comedy horror, science fiction film, splatter film, superhero film",Macon Blair,102,tt1633359,,15,2023
JUNG_E,,2023-01-20T00:00:00Z,"action film, science fiction film",Yeon Sang-ho,98,tt22352848,,15,2023
Boston Strangler,,2023-03-17T00:00:00Z,"drama film, crime film, historical film",Matt Ruskin,112,tt2560078,,15,2023
Marry My Dead Body,,2023-02-10T00:00:00Z,"drama film, comedy film",Cheng Wei-hao,129,tt22742964,,15,2023
The Blue Caftan,,2023-02-10T00:00:00Z,"drama film, comedy film, romance film",Maryam Touzani,122,tt17679584,,15,2023
Joyland,,2023-02-24T00:00:00Z,"drama film, LGBT-related film",Saim Sadiq,126,tt19719976,,15,2023
Ezra,,2023-09-09T00:00:00Z,comedy drama,Tony Goldwyn,100,tt20315818,,15,2023
On the Adamant,,2023-09-14T00:00:00Z,documentary film,Nicolas Philibert,109,tt26448811,,15,2023
Afire,,2023-01-01T00:00:00Z,drama film,Christian Petzold,102,tt26440619,,15,2023
Last Summer,,2023-05-25T00:00:00Z,"drama film, erotic film, thriller film",Catherine Breillat,104,tt14550346,,15,2023
The Animal Kingdom,,2023-05-17T00:00:00Z,"drama film, adventure film, science fiction film, speculative fiction film",Thomas Cailley,127,tt16606592,,15,2023
The Monk and the Gun,,2023-09-01T00:00:00Z,"drama film, comedy film",Pawo Choyning Dorji,107,tt15560314,,15,2023
Laapataa Ladies,,2023-09-08T00:00:00Z,comedy drama,Kiran Rao,124,tt21626284,,15,2023
The Peasants,,2023-09-08T00:00:00Z,drama film,"Hugh Welchman, Dorota Kobiela",114,tt10651230,,15,2023
Marcel the Shell with Shoes On,,2023-06-14T00:00:00Z,"comedy film, mockumentary, family film",Dean Fleischer Camp,90,tt15339456,,15,2023
Sharknado 3: Oh Hell No!,,2023-05-02T00:00:00Z,"science fiction, horror film, science fiction film, disaster film, speculative fiction film, comedy television program",Anthony C. Ferrante,88,tt3899796,,15,2023
Spy x Family Code: White,,2023-12-22T00:00:00Z,"gag anime, action anime, thriller anime",Kazuhiro Furuhashi,110,tt26684398,,14,2023
In the Shadow of the Cypress,,2023-01-01T00:00:00Z,"drama film, war film","Shirin Sohani, Hossein Molayemi",20,tt28768883,,14,2023
Where Is Anne Frank,,2023-02-23T00:00:00Z,"drama film, animated film, historical film, magic realist film",Ari Folman,99,tt3454424,,14,2023
Petrov's Flu,,2023-01-26T00:00:00Z,"drama film, experimental film",Kirill Serebrennikov,146,tt10380900,,14,2023
Tiger 3,,2023-11-10T00:00:00Z,"action film, adventure film, romance film, spy film, thriller film",Maneesh Sharma,155,tt18411490,,14,2023
Concrete Utopia,,2023-08-09T00:00:00Z,"disaster film, thriller film",Um Tae-hwa,130,tt13086266,,14,2023
Showing Up,,2023-04-07T00:00:00Z,"drama film, comedy film",Kelly Reichardt,108,tt13923216,,14,2023
Cheburashka,,2023-01-01T00:00:00Z,"fantasy film, comedy film, children's film, live-action/animated film",Dmitry Dyachenko,113,tt16550628,,14,2023
Stars at Noon,,2023-06-14T00:00:00Z,"drama film, romance film, thriller film, film based on a novel",Claire Denis,137,tt10354106,,14,2023
We Have a Ghost,,2023-02-24T00:00:00Z,"comedy film, ghost film, supernatural horror film, film based on literature",Christopher Landon,127,tt7798604,,14,2023
Master Gardener,,2023-07-05T00:00:00Z,"drama film, romance film, thriller film",Paul Schrader,107,tt15342244,,14,2023
Pacifiction,,2023-01-06T00:00:00Z,"drama film, thriller film",Q2422285,165,tt13702796,,14,2023
The Eight Mountains,,2023-01-05T00:00:00Z,drama film,"Charlotte Vandermeersch, Felix van Groeningen",147,tt14641542,,14,2023
Sick of Myself,,2023-03-23T00:00:00Z,"comedy drama, black comedy film",Kristoffer Borgli,97,tt18816518,,14,2023
The Night of the 12th,,2023-01-12T00:00:00Z,"police film, thriller film",Dominik Moll,114,tt16953666,,14,2023
Club Zero,,2023-05-22T00:00:00Z,"drama film, thriller film, black comedy film",Jessica Hausner,110,tt18235146,,14,2023
Perlimps,,2023-03-31T00:00:00Z,adventure film,Alê Abreu,75,tt14817802,,14,2023
"20,000 Species of Bees",,2023-01-01T00:00:00Z,"drama film, LGBT-related film",Estibaliz Urresola,125,tt21113962,,14,2023
Tótem,,2023-02-20T00:00:00Z,drama film,Lila Avilés,95,tt26315142,,14,2023
The Family Plan,,2023-12-15T00:00:00Z,"comedy film, action film",Simon Cellan Jones,118,tt16431870,,14,2023
Origin,,2023-01-01T00:00:00Z,drama film,Ava DuVernay,135,tt13321244,,14,2023
Family Switch,,2023-11-30T00:00:00Z,comedy film,McG,101,tt14227048,,14,2023
Strange Darling,,2023-01-01T00:00:00Z,"horror film, thriller film",JT Mollner,96,tt22375054,,14,2023
There Is Still Tomorrow,,2023-10-26T00:00:00Z,comedy drama,Paola Cortellesi,118,tt21800162,,14,2023
Strange Way of Life,,2023-01-01T00:00:00Z,"LGBT-related film, Western",Pedro Almodóvar,30,tt13055264,,14,2023
Doraemon: Nobita's Sky Utopia,,2023-03-03T00:00:00Z,"adventure film, science fiction film, anime film",Takumi Doyama,107,tt21223380,,14,2023
Spirited Away,,2024-11-28T00:00:00Z,"drama film, fantasy film, children's film, fantasy anime and manga, isekai, coming-of-age film, supernatural anime",Hayao Miyazaki,125,tt0245429,,108,2024
City of God,,2024-02-22T00:00:00Z,"drama film, crime film, hood film, coming-of-age film","Fernando Meirelles, Kátia Lund",128,tt0317248,,65,2024
Dune: Part Two,,2024-02-27T00:00:00Z,"action film, adventure film, science fiction film, epic film, speculative fiction film, film based on a novel",Denis Villeneuve,166,tt15239678,,54,2024
Anora,,2024-05-21T00:00:00Z,comedy drama,Sean Baker,139,tt28607951,,52,2024
Deadpool & Wolverine,,2024-07-24T00:00:00Z,"action film, science fiction film, splatter film, superhero film, black comedy film",Shawn Levy,128,tt6263850,,51,2024
Inside Out 2,,2024-06-13T00:00:00Z,"comedy drama, coming-of-age fiction, coming-of-age film",Kelsey Mann,96,tt22022452,,51,2024
Despicable Me 4,,2024-07-03T00:00:00Z,"comedy film, animated film",Chris Renaud,95,tt7510222,,51,2024
Poor Things,,2024-01-12T00:00:00Z,"black comedy, fantasy film, thriller film, film based on a novel, arthouse science fiction film",Yorgos Lanthimos,141,tt14230458,,48,2024
The Substance,,2024-05-19T00:00:00Z,"satire, drama film, body horror, science fiction horror film",Coralie Fargeat,141,tt17526714,,48,2024
Wish,,2024-01-03T00:00:00Z,"fantasy film, adventure film, musical film, family film, cinematic fairy tale","Chris Buck, Fawn Veerasunthorn",95,tt11304740,,48,2024
Gladiator II,,2024-11-13T00:00:00Z,"drama film, action film, adventure film, epic film, sword-and-sandal film, historical film",Ridley Scott,148,tt9218128,,47,2024
Venom: The Last Dance,,2024-10-21T00:00:00Z,"action film, science fiction film, superhero film, thriller film",Kelly Marcel,109,tt16366836,,46,2024
Moana 2,,2024-11-27T00:00:00Z,"fantasy film, adventure film, musical film, family film","Dana Ledoux Miller, David Derrick Jr.",100,tt13622970,,45,2024
Wicked,,2024-11-20T00:00:00Z,"fantasy film, musical film, cinematic fairy tale, film based on a novel",Jon M. Chu,160,tt1262426,,44,2024
Joker: Folie à Deux,,2024-10-03T00:00:00Z,"drama film, psychological thriller, musical film, crime film, thriller film",Todd Phillips,138,tt11315808,,44,2024
The Boy and the Heron,,2024-01-01T00:00:00Z,"drama film, fantasy film, adventure film",Hayao Miyazaki,124,tt6587046,,43,2024
The Garfield Movie,,2024-05-24T00:00:00Z,comedy film,Mark Dindal,,tt5779228,,43,2024
Conclave,,2024-01-23T00:00:00Z,"drama film, mystery film, thriller film",Edward Berger,121,tt20215234,,43,2024
The Brutalist,,2024-09-01T00:00:00Z,"drama film, historical film",Brady Corbet,215,tt8999762,,42,2024
Furiosa: A Mad Max Saga,,2024-05-15T00:00:00Z,"action film, adventure film, post-apocalyptic film, dystopian film",George Miller,148,tt12037194,,42,2024
The Zone of Interest,,2024-01-11T00:00:00Z,"drama film, war film, historical drama, historical film, film based on a novel",Jonathan Glazer,105,tt7160372,,42,2024
Anatomy of a Fall,,2024-02-23T00:00:00Z,"drama film, crime film, thriller film, trial film",Justine Triet,150,tt17009710,,42,2024
Flow,,2024-11-08T00:00:00Z,"adventure film, family film, fantasy film",Gints Zilbalodis,80,tt4772188,,42,2024
Kingdom of the Planet of the Apes,,2024-05-08T00:00:00Z,"adventure film, science fiction action film",Wes Ball,145,tt11389872,,41,2024
Emilia Pérez,,2024-05-18T00:00:00Z,"drama film, comedy film, musical film, crime film, LGBT-related film",Jacques Audiard,132,tt20221436,,41,2024
Mufasa: The Lion King,,2024-12-18T00:00:00Z,"drama film, adventure film, musical film, family film",Barry Jenkins,118,tt13186482,,40,2024
Migration,,2024-01-04T00:00:00Z,"comedy film, adventure film, family film",Benjamin Renner,82,tt6495056,,40,2024
Sonic the Hedgehog 3,,2024-12-20T00:00:00Z,"comedy film, action film, animated film, adventure film, science fiction film, family film, live-action/animated film",Jeff Fowler,110,tt18259086,,39,2024
Nosferatu,,2024-12-02T00:00:00Z,"drama film, fantasy film, horror film, vampire film",Robert Eggers,143,tt5040012,,39,2024
The Beekeeper,,2024-01-11T00:00:00Z,"action film, thriller film",David Ayer,105,tt15314262,,39,2024
The Wild Robot,,2024-09-26T00:00:00Z,"drama film, adventure film, science fiction film",Chris Sanders,102,tt29623480,,39,2024
The Naked Gun: From the Files of Police Squad!,,2024-08-28T00:00:00Z,comedy film,David Zucker,85,tt0095705,,38,2024
Madame Web,,2024-02-14T00:00:00Z,"action film, superhero film",S. J. Clarkson,116,tt11057302,,38,2024
Beetlejuice Beetlejuice,,2024-08-28T00:00:00Z,"black comedy, drama film, fantasy film, comedy film, comedy horror",Tim Burton,104,tt2049403,,38,2024
Alien: Romulus,,2024-08-15T00:00:00Z,"horror film, science fiction film, science fiction horror film",Fede Álvarez,119,tt18412256,,38,2024
Kraven the Hunter,,2024-12-12T00:00:00Z,"action film, science fiction film",J. C. Chandor,127,tt8790086,,37,2024
Godzilla x Kong: The New Empire,,2024-03-27T00:00:00Z,"action film, adventure film, science fiction film, monster film, thriller film, speculative fiction film",Adam Wingard,115,tt14539740,,37,2024
Kung Fu Panda 4,,2024-03-08T00:00:00Z,"comedy film, animated film, martial arts film",Mike Mitchell,94,tt21692408,,37,2024
The Holdovers,,2024-02-29T00:00:00Z,"comedy drama, Christmas film",Alexander Payne,133,tt14849194,,36,2024
Past Lives,,2024-01-11T00:00:00Z,drama film,Celine Song,106,tt13238346,,35,2024
A Complete Unknown,,2024-12-25T00:00:00Z,"drama film, biographical film, musical film",James Mangold,141,tt11563598,,35,2024
The Lord of the Rings: The War of the Rohirrim,,2024-12-05T00:00:00Z,fantasy film,Kenji Kamiyama,134,tt14824600,,34,2024
Society of the Snow,,2024-01-04T00:00:00Z,"drama film, adventure film, biographical film, thriller film, historical film",J. A. Bayona,144,tt16277242,,34,2024
Red One,,2024-11-07T00:00:00Z,"adventure film, action comedy film, Christmas film",Jake Kasdan,102,tt14948432,,34,2024
Bad Boys: Ride or Die,,2024-06-05T00:00:00Z,"action film, action comedy film, buddy cop film","Adil El Arbi, Bilall Fallah",115,tt4919268,,33,2024
Argylle,,2024-01-24T00:00:00Z,"fantasy film, action film, spy film, thriller film",Matthew Vaughn,139,tt15009428,,33,2024
Civil War,,2024-03-14T00:00:00Z,"drama film, action film, dystopian film",Alex Garland,109,tt17279496,,33,2024
I'm Still Here,,2024-09-01T00:00:00Z,"drama film, biographical film",Walter Salles,135,tt14961016,,33,2024
Transformers One,,2024-09-13T00:00:00Z,"action film, adventure film, science fiction film",Josh Cooley,104,tt8864596,,33,2024
Sound of Freedom,,2024-01-25T00:00:00Z,"drama film, action film, crime film",Alejandro Monteverde,131,tt7599146,,32,2024
